[00:00]  Czy trzeba zakładać firmę, aby zacząć sprzedawać usługi online?

[00:03]  I to jest temat, który bardzo często przejawia się w internecie u osób, które chcą zacząć działalność w internecie i odpowiedź jest prosta, nie trzeba.

[00:12]  Dlatego, że są takie platformy, które pozwalają Ci bez rejestrowanej działalności wypisywać faktury dla klientów, więc do poziomu 8-12 tysięcy złotych jak najbardziej jesteś w stanie to zrobić.

[00:23]  Wtedy już niestety wchodzisz na taki poziom rocznych zarobków, że trzeba zainteresować się księgowością oraz ZUSem.

[00:29]  Natomiast poniżej tego nie jest Ci to kompletnie potrzebne.

[00:32]  I przykładem takich platformy jest na przykład Youzmi, możesz sobie bezpłatnie tam zarejestrować konto, oni za Ciebie opłacają wszystkie niepotrzebne koszty i Ty po prostu wystawiasz dla klienta fakturę, zlecenie i w ten sposób możesz od razu po zrealizowaniu pierwszego projektu przyjąć pieniądze na swoje konto.

[00:50]  I to jest coś, czego ja też używałem będąc właśnie w tym pierwszym etapie swoich działań, kiedy jeszcze nie miałem dużej puli klientów, nie wiedziałem czy to co będę robił w ogóle mi wypali.

[01:00]  Używałem Youzmi, żeby takie faktury wystawiać i kiedy doszedłem do tego wyższego poziomu, gdzie wiedziałem OK, to jest coś, gdzie będę mógł faktycznie zarabiać regularnie duże pieniądze, no to wtedy faktycznie tą działalność zrobiłem.

[01:11]  Natomiast wcześniej nie ma zupełnie takiej potrzeby, aby to robić.

[01:16]  A jeżeli chcesz dowiedzieć się jak zacząć zarabiać online z wykorzystaniem AI i potencjalnie mieć lecenia na 8-12 tysięcy złotych miesięcznie, to zejdź teraz na dół, zaobserwuj mój profil, zobacz przypięte relacje, a dokładniej dowiesz się o całym temacie.
