[00:00]  Wcześniej srebro, teraz brąz.

[00:03]  Kacper Tomasiak wywalczył swój drugi medal

[00:06]  na tegorocznych zimowych igrzyskach olimpijskich.

[00:09]  Wygrał domenprev z drugim Eren Nikaido.

[00:12]  Ale dla nas najważniejsze jest to,

[00:15]  że tak, buduje się legenda.

[00:18]  Młody Kacper idzie w ślady zarówno Adama Małysza,

[00:21]  jak i Kamila Stocha.

[00:23]  Oczywiście bardzo mocno trzymamy kciuki,

[00:26]  już nie możemy się doczekać tego,

[00:28]  co będzie się działo za mne 4 lata, 8 lat i 12 lat.

[00:32]  To olimpijski news na dziś.

[00:34]  Zasubskrybuj po więcej.
